symbol,ann,credit,max_risk,pnl,ret_pct
MSFT,2022-07-26,0.93,1907.0,57.5,3.02
MSFT,2022-10-25,0.38,1962.0,-116.0,-5.91
MSFT,2023-01-24,0.82,1418.0,54.5,3.84
MSFT,2023-04-25,0.65,1685.0,-37.5,-2.23
PFE,2019-01-29,0.23,177.0,-2.5,-1.41
PFE,2019-04-30,0.09,141.0,-18.5,-13.12
PFE,2019-07-29,0.1,90.0,-38.5,-42.78
PFE,2019-10-29,0.12,138.0,-13.5,-9.82
PFE,2020-01-28,0.16,184.0,-51.0,-27.79
PFE,2020-04-28,0.11,189.0,-14.5,-7.67
PFE,2020-07-28,0.09,242.0,-16.5,-6.83
PFE,2020-10-27,0.1,290.0,-12.0,-4.14
PFE,2021-02-02,0.12,188.0,-14.0,-7.45
PFE,2021-05-04,0.29,220.0,2.5,1.13
PFE,2021-11-02,0.24,226.0,-5.5,-2.43
PFE,2022-02-08,0.45,355.0,18.5,5.21
PFE,2022-05-03,0.24,376.0,-4.5,-1.2
PFE,2022-07-28,0.11,390.0,-11.5,-2.95
PFE,2022-11-01,0.16,284.0,-10.5,-3.69
PFE,2023-01-31,0.2,230.0,-5.0,-2.17
PFE,2023-05-02,0.09,140.0,-17.0,-12.1
PFE,2023-08-01,0.11,189.0,-14.5,-7.67
PFE,2023-10-31,0.07,194.0,-17.0,-8.79
PFE,2024-01-30,0.09,141.0,-14.5,-10.28
PFE,2024-05-01,0.05,145.0,-23.0,-15.92
PFE,2024-07-30,0.11,139.0,-15.0,-10.79
PFE,2024-10-29,0.07,144.0,-15.5,-10.8
PFE,2025-02-04,0.08,142.0,-16.5,-11.62
PFE,2025-04-29,0.06,144.0,-20.5,-14.19
PFE,2025-08-05,0.1,140.0,-16.0,-11.43
PFE,2025-11-04,0.12,138.0,-15.0,-10.83
PFE,2026-02-03,0.07,143.0,-20.0,-13.99
PFE,2026-05-05,0.06,94.0,-17.5,-18.62
UNH,2019-01-15,0.54,1446.0,23.0,1.59
UNH,2019-04-16,2.85,965.0,193.5,20.06
UNH,2019-07-18,0.21,1479.0,-5.5,-0.37
UNH,2019-10-15,0.43,1207.0,-138.5,-11.47
UNH,2020-01-15,0.54,1196.0,19.5,1.63
UNH,2021-10-14,0.5,1700.0,6.5,0.38
WFC,2019-01-15,0.14,286.0,-11.0,-3.84
WFC,2019-07-16,0.07,244.0,-20.5,-8.42
WFC,2019-10-15,0.12,238.0,-11.5,-4.83
WFC,2020-01-14,0.17,183.0,-50.5,-27.6
WFC,2020-04-14,0.31,469.0,4.0,0.85
WFC,2020-07-14,0.15,335.0,-10.5,-3.14
WFC,2020-10-14,0.06,194.0,-19.0,-9.79
WFC,2021-01-15,0.08,342.0,-14.0,-4.09
WFC,2021-04-14,0.12,288.0,-12.0,-4.17
WFC,2021-07-14,0.11,239.0,-16.0,-6.68
WFC,2021-10-14,0.1,290.0,-14.0,-4.82
WFC,2022-01-14,0.05,395.0,-16.5,-4.18
WFC,2022-04-14,0.09,391.0,-13.0,-3.32
WFC,2022-10-14,0.06,444.0,-16.0,-3.6
WFC,2023-01-13,0.06,194.0,-16.0,-8.25
WFC,2023-04-14,0.05,295.0,-16.5,-5.6
WFC,2023-07-14,0.08,192.0,-14.0,-7.29
WFC,2023-10-13,0.06,244.0,-16.0,-6.56
WFC,2024-01-12,0.07,193.0,-15.0,-7.77
WFC,2024-04-12,0.16,384.0,-6.0,-1.56
WFC,2024-07-12,0.21,279.0,-0.5,-0.18
WFC,2024-10-11,0.06,294.0,-16.5,-5.6
WFC,2025-01-15,0.17,432.0,-16.5,-3.82
WFC,2025-07-15,0.27,473.0,-27.0,-5.7
WFC,2025-10-14,0.23,477.0,-51.5,-10.8
WFC,2026-01-14,0.25,475.0,-15.0,-3.16
WFC,2026-04-14,0.16,484.0,-25.0,-5.17
WMT,2019-05-16,0.32,468.0,10.0,2.14
WMT,2019-11-14,0.38,462.0,13.5,2.92
WMT,2020-02-18,0.42,558.0,17.0,3.04
WMT,2020-05-19,0.33,667.0,-9.0,-1.35
WMT,2020-08-18,0.47,752.0,19.5,2.59
WMT,2020-11-17,0.4,710.0,10.0,1.41
WMT,2021-02-18,0.25,725.0,-32.0,-4.41
WMT,2021-05-18,0.35,565.0,8.5,1.5
WMT,2021-08-17,0.36,464.0,11.0,2.37
WMT,2021-11-16,0.49,551.0,17.0,3.09
WMT,2022-02-17,0.41,809.0,16.5,2.04
WMT,2022-05-17,0.57,943.0,-426.5,-45.23
WMT,2022-08-16,0.75,625.0,23.5,3.76
WMT,2022-11-15,1.03,897.0,18.5,2.06
WMT,2023-02-21,0.76,674.0,46.0,6.82
WMT,2023-05-18,0.34,466.0,9.0,1.93
WMT,2023-08-17,0.38,462.0,8.5,1.84
WMT,2023-11-16,0.4,460.0,-323.5,-70.4
WMT,2024-02-20,0.63,437.0,27.5,6.29
WMT,2024-05-16,0.24,243.0,-77.0,-31.69
WMT,2024-08-15,0.57,343.0,27.0,7.87
WMT,2024-11-19,0.56,444.0,27.0,6.08
WMT,2025-02-20,0.53,547.0,8.5,1.55
WMT,2025-05-15,0.47,453.0,21.0,4.64
WMT,2025-08-21,0.35,465.0,6.5,1.4
WMT,2025-11-20,0.45,555.0,4.0,0.72
WMT,2026-05-21,0.35,665.0,-24.5,-3.68
XOM,2019-04-26,0.07,293.0,-15.0,-5.12
XOM,2019-08-02,0.07,343.0,-14.5,-4.23
XOM,2019-11-01,0.1,240.0,-11.5,-4.8
XOM,2020-01-31,0.07,243.0,-15.0,-6.17
XOM,2020-07-31,0.11,339.0,-11.0,-3.24
XOM,2021-02-02,0.07,493.0,-16.0,-3.25
XOM,2022-02-01,0.19,481.0,-38.5,-8.0
XOM,2022-04-29,0.06,794.0,-16.0,-2.02
XOM,2022-07-29,0.08,692.0,-14.0,-2.02
XOM,2022-10-28,0.07,993.0,-15.0,-1.51
XOM,2023-01-31,0.24,676.0,-4.5,-0.67
XOM,2023-07-28,0.11,489.0,-10.5,-2.15
XOM,2024-02-02,0.06,494.0,-15.5,-3.14
XOM,2024-11-01,0.12,688.0,-9.5,-1.38
XOM,2025-01-31,0.1,490.0,-12.0,-2.45
XOM,2025-10-31,0.08,492.0,-14.0,-2.85
