entry,exit,entry_px,exit_px,pnl,ret,giveback,why,symbol,variant
2019-01-30,2019-01-31,99.09282684326172,97.27640533447266,-183.30504504247864,-0.01833050450424789,0.0,cross,MSFT,B
2019-03-21,2019-05-09,4.559380054473877,4.218552112579346,-747.5313262383006,-0.0747531326238301,2.685066175049154,atr_stop,NVDA,B
2019-02-01,2019-05-21,55.43940353393555,57.21466827392578,320.2171428311923,0.032021714283119174,0.7982875627242785,cross,GOOGL,B
2019-03-12,2019-05-23,43.108070373535156,42.97507095336914,-30.852557076566903,-0.00308525570765672,1.0180983848236231,cross,AAPL,B
2019-07-19,2019-07-25,17.211999893188477,15.254667282104492,-1137.1906944169714,-0.11371906944169718,5.382087436267518,atr_stop,TSLA,B
2019-07-16,2019-08-05,4.146193027496338,3.74194598197937,-974.9836605197099,-0.09749836605197104,2.4067444349492653,atr_stop,NVDA,B
2019-08-22,2019-08-28,4.255380630493164,4.004733085632324,-589.0132202622538,-0.05890132202622533,0.0,cross,NVDA,B
2019-09-17,2019-09-24,16.319332122802734,14.880666732788086,-881.5712427375781,-0.08815712427375777,12.922468979688611,cross,TSLA,B
2019-09-30,2019-10-04,16.058000564575195,15.428667068481445,-391.91273755594034,-0.03919127375559406,3.471198855593586,cross,TSLA,B
2019-07-17,2020-03-06,56.83305358886719,64.21757507324219,1299.3356890155778,0.12993356890155772,0.6059553863058358,cross,GOOGL,B
2019-06-12,2020-03-12,46.450687408447266,59.9235954284668,2900.47548738093,0.2900475487380929,0.585914556000703,cross,AAPL,B
2019-02-05,2020-03-12,99.87528228759766,131.80850219726562,3197.3096023612825,0.31973096023612824,0.5931943819035472,cross,MSFT,B
2019-08-29,2020-03-18,4.148309707641602,5.044817924499512,2161.140994864613,0.2161140994864612,0.7560296598039895,cross,NVDA,B
2019-10-09,2020-03-19,16.302000045776367,28.50933265686035,7488.242287330101,0.7488242287330102,0.7278752869622443,cross,TSLA,B
2020-04-30,2020-09-24,66.74317169189453,70.5177001953125,565.5302868797226,0.056553028687972295,0.7945455217456124,cross,GOOGL,B
2020-04-17,2021-03-05,68.2688980102539,118.1536865234375,7307.103229598193,0.7307103229598193,0.29573159533701754,cross,AAPL,B
2020-03-27,2021-03-08,6.286245822906494,11.54665756225586,8368.129226160572,0.8368129226160572,0.4143639073617074,cross,NVDA,B
2020-04-13,2021-03-26,43.39666748046875,206.23666381835938,37523.617778065316,3.7523617778065317,0.3511489265870883,cross,TSLA,B
2021-04-05,2021-05-11,230.35000610351562,205.73333740234375,-1068.6636878190286,-0.10686636878190281,2.0362003883315554,cross,TSLA,B
2021-04-07,2021-05-21,124.45936584472656,122.26314544677734,-176.4608378841643,-0.017646083788416478,1.3252064575166351,cross,AAPL,B
2021-05-24,2021-05-27,123.89097595214844,122.1169204711914,-143.1948910986254,-0.014319489109862582,0.0,cross,AAPL,B
2021-06-28,2021-07-07,229.57333374023438,214.88333129882812,-639.8827861265545,-0.06398827861265544,0.0,atr_stop,TSLA,B
2020-10-09,2022-01-13,74.85871124267578,137.36891174316406,8350.424347788156,0.8350424347788157,0.1514010938220957,cross,GOOGL,B
2020-04-08,2022-01-18,156.51907348632812,291.5407409667969,8626.531225426837,0.8626531225426839,0.2239972091618488,cross,MSFT,B
2021-04-05,2022-01-21,13.936090469360352,23.300392150878906,6719.461029696059,0.6719461029696059,0.5155743009603775,cross,NVDA,B
2021-07-12,2022-01-27,228.56666564941406,276.3666687011719,2091.293711440654,0.20912937114406538,0.7364987644729771,cross,TSLA,B
2021-06-14,2022-03-08,127.18563079833984,154.1152801513672,2117.3499855283067,0.21173499855283073,0.4694091896220319,cross,AAPL,B
2022-03-24,2022-04-06,28.066131591796875,24.33428192138672,-1329.6629990507474,-0.1329662999050748,8.397245358205513,atr_stop,NVDA,B
2022-03-29,2022-04-06,304.4605407714844,289.1028137207031,-504.42421904216917,-0.05044242190421688,0.0,atr_stop,MSFT,B
2022-03-25,2022-04-08,140.42779541015625,132.11598205566406,-591.8923194810083,-0.059189231948100884,7.457813185380138,atr_stop,GOOGL,B
2022-03-24,2022-04-26,337.97332763671875,292.1400146484375,-1356.122191912926,-0.13561221919129263,2.0453879452256936,atr_stop,TSLA,B
2022-03-23,2022-04-26,166.61561584472656,153.48878479003906,-787.851185984916,-0.07878511859849158,2.5325689609714037,cross,AAPL,B
2022-08-16,2022-08-22,120.6303482055664,113.23590850830078,-612.9833667283084,-0.0612983366728308,0.0,cross,GOOGL,B
2022-08-04,2022-08-29,274.4407958984375,257.16357421875,-629.5427625155734,-0.06295427625155736,2.818432936974439,atr_stop,MSFT,B
2022-07-29,2022-09-02,297.1499938964844,270.2099914550781,-906.6129225898995,-0.09066129225899,3.2136378568007484,atr_stop,TSLA,B
2022-07-27,2022-09-15,153.70449829101562,149.5789794921875,-268.40585960061463,-0.026840585960061447,1.233764369803699,cross,AAPL,B
2022-09-07,2022-10-03,283.70001220703125,242.39999389648438,-1455.7637128477816,-0.14557637128477818,2.6279080117980476,cross,TSLA,B
2022-12-13,2022-12-19,249.80828857421875,233.79415893554688,-641.0567771819161,-0.06410567771819164,55.896014227429646,cross,MSFT,B
2022-11-15,2022-12-27,16.624797821044922,14.089693069458008,-1524.893582993104,-0.15248935829931043,2.8016122167370163,atr_stop,NVDA,B
2023-02-02,2023-02-08,106.79303741455078,98.49661254882812,-776.8694539062011,-0.07768694539062015,0.0,atr_stop,GOOGL,B
2023-02-09,2023-03-08,207.32000732421875,182.0,-1221.300715305392,-0.12213007153053923,4.658961564158594,atr_stop,TSLA,B
2023-03-24,2023-04-12,190.41000366210938,180.5399932861328,-518.3556633658446,-0.05183556633658448,1.578886135446116,cross,TSLA,B
2023-02-02,2023-09-15,148.302978515625,172.82345581054688,1653.4042364050317,0.16534042364050316,0.46026991642948833,cross,AAPL,B
2023-02-01,2023-09-28,245.75372314453125,307.03912353515625,2493.773018225331,0.24937730182253315,0.41869283755009223,cross,MSFT,B
2023-10-13,2023-10-18,176.6155242919922,173.6431121826172,-168.29846194385587,-0.016829846194385545,0.0,cross,AAPL,B
2023-05-26,2023-10-20,193.1699981689453,211.99000549316406,974.2717555838503,0.09742717555838509,0.8121193204728108,cross,TSLA,B
2023-03-20,2023-11-02,100.33036041259766,126.36946105957031,2595.33610164358,0.25953361016435794,0.332062234710758,cross,GOOGL,B
2023-11-28,2024-01-11,246.72000122070312,227.22000122070312,-790.3696458949145,-0.0790369645894915,2.324728151012242,cross,TSLA,B
2023-11-08,2024-02-20,180.6050262451172,179.75694274902344,-46.9579121758622,-0.0046957912175862315,1.0554753734456814,cross,AAPL,B
2023-11-03,2024-03-05,127.96532440185547,131.5039520263672,276.5301960552377,0.0276530196055238,0.8537479886268932,cross,GOOGL,B
2023-10-09,2024-08-02,322.8785400390625,402.1695556640625,2455.7536594227417,0.24557536594227414,0.4231159237676973,cross,MSFT,B
2024-03-14,2024-08-06,141.84226989746094,157.0787811279297,1074.1869290080708,0.10741869290080719,0.68174307926495,cross,GOOGL,B
2024-09-16,2024-10-07,425.43145751953125,403.9300842285156,-505.40158493165757,-0.05054015849316573,3.965981325722176,cross,MSFT,B
2024-10-04,2024-10-09,166.001708984375,160.83462524414062,-311.26690031370276,-0.031126690031370252,0.0,cross,GOOGL,B
2024-10-16,2024-10-17,164.11373901367188,161.8978271484375,-135.0229346154726,-0.013502293461547299,0.0,cross,GOOGL,B
2024-10-22,2024-10-23,164.09385681152344,161.74879455566406,-142.90981401899097,-0.014290981401899105,0.0,cross,GOOGL,B
2024-10-24,2024-10-31,418.9120178222656,400.7838134765625,-432.7449100157945,-0.04327449100157943,3.356409839382123,atr_stop,MSFT,B
2024-11-13,2024-11-15,419.3755798339844,409.3153076171875,-239.8869343031221,-0.02398869343031218,7.035426583668985,cross,MSFT,B
2024-11-27,2025-01-10,418.03094482421875,414.0382995605469,-95.510758548049,-0.009551075854804858,1.1283766943572775,cross,MSFT,B
2024-05-09,2025-01-22,182.73704528808594,222.40902709960938,2170.98737417913,0.21709873741791297,0.46847855396829324,cross,AAPL,B
