symbol,entry,strike,debit,pnl,mae,exit_reason,ret_pct,days_held
NVDA,2022-09-13,130.0,19.1,-381.0,-380.0,manage_21dte,-19.95,17
NVDA,2023-03-13,230.0,32.08,1592.8,0.0,tp_plus50,49.66,10
NVDA,2023-08-17,435.0,70.62,-2836.0,-3305.0,stop_minus40,-40.16,22
NVDA,2023-09-26,420.0,47.23,-98.5,-297.5,manage_21dte,-2.09,17
NVDA,2024-03-18,885.0,131.9,-5287.0,-5545.0,stop_minus40,-40.08,16
NVDA,2024-04-04,860.0,105.83,-2541.0,-2640.0,manage_21dte,-24.01,22
NVDA,2024-07-19,118.0,20.12,-147.5,-215.0,manage_21dte,-7.33,21
NVDA,2024-09-03,108.0,14.98,-293.0,-372.5,manage_21dte,-19.57,17
NVDA,2024-10-03,123.0,17.05,402.0,-70.0,manage_21dte,23.58,22
NVDA,2025-01-02,138.0,17.6,-646.0,-635.0,manage_21dte,-36.7,22
NVDA,2025-02-03,117.0,21.0,6.5,-65.0,manage_21dte,0.31,18
NVDA,2025-02-25,127.0,20.57,-778.5,-767.5,manage_21dte,-37.84,17
NVDA,2025-10-10,185.0,24.57,-23.5,-555.0,manage_21dte,-0.96,21
NVDA,2026-02-04,175.0,21.73,21.5,-52.5,manage_21dte,0.99,16
LLY,2013-08-20,52.5,2.57,-50.0,-39.0,manage_21dte,-19.42,14
LLY,2013-10-01,50.0,3.0,-130.8,-124.5,stop_minus40,-43.67,22
LLY,2013-12-17,49.0,2.02,26.5,0.0,manage_21dte,13.09,13
LLY,2014-01-27,55.0,3.22,94.0,-85.0,manage_21dte,29.19,35
LLY,2014-03-03,60.0,3.28,-98.5,-87.5,manage_21dte,-30.08,28
LLY,2014-03-14,60.0,2.93,-64.0,-53.0,manage_21dte,-21.84,17
LLY,2014-03-27,57.5,3.78,-121.0,-115.5,manage_21dte,-32.01,32
LLY,2014-04-08,57.5,3.47,-90.0,-84.5,manage_21dte,-25.94,20
LLY,2014-04-10,57.5,3.43,-85.5,-80.0,manage_21dte,-24.96,18
LLY,2014-07-31,60.0,3.27,36.0,-94.0,manage_21dte,10.99,33
LLY,2014-09-25,65.5,2.98,138.0,-17.0,tp_plus50,46.31,21
LLY,2014-12-11,72.5,3.67,-48.5,-69.5,manage_21dte,-13.2,18
LLY,2015-06-29,84.0,6.42,-58.0,-74.0,manage_21dte,-9.03,18
LLY,2015-08-20,87.5,5.3,254.0,0.0,tp_plus50,47.92,4
LLY,2015-12-11,83.5,5.23,-121.0,-110.0,manage_21dte,-23.14,24
LLY,2016-01-04,83.0,6.18,-184.0,-173.0,manage_21dte,-29.75,18
LLY,2016-06-16,74.0,5.28,84.5,-80.5,manage_21dte,16.02,22
LLY,2016-09-14,77.5,3.88,-24.0,-30.5,manage_21dte,-6.19,16
LLY,2016-10-11,82.5,4.53,215.5,0.0,tp_plus50,47.57,15
LLY,2017-04-10,85.0,4.46,-89.0,-80.5,manage_21dte,-19.96,18
LLY,2017-08-11,81.0,3.49,-83.5,-112.5,manage_21dte,-23.93,21
LLY,2017-11-14,82.5,3.51,24.0,-40.0,manage_21dte,6.84,17
LLY,2017-11-28,85.0,3.46,-86.5,-75.5,manage_21dte,-24.96,17
LLY,2018-01-16,85.5,3.82,118.0,-30.0,manage_21dte,30.89,17
LLY,2018-07-02,86.0,4.14,-33.0,-22.0,manage_21dte,-7.96,18
LLY,2018-10-08,115.0,6.8,329.0,-46.5,tp_plus50,48.38,16
LLY,2019-05-09,115.0,7.12,-191.0,-185.5,manage_21dte,-26.81,22
LLY,2019-08-05,109.0,7.85,-256.0,-245.0,manage_21dte,-32.61,18
LLY,2019-10-01,111.0,7.22,-253.5,-242.5,manage_21dte,-35.09,17
LLY,2020-01-27,138.0,8.55,-271.0,-260.0,manage_21dte,-31.7,18
LLY,2020-09-24,149.0,13.6,-353.5,-342.5,manage_21dte,-25.99,22
LLY,2020-09-30,148.0,11.6,-173.5,-162.5,manage_21dte,-14.96,16
LLY,2021-01-28,210.0,23.58,-954.0,-947.5,stop_minus40,-40.47,19
LLY,2021-09-17,230.0,17.32,-323.5,-312.5,manage_21dte,-18.67,21
LLY,2021-11-26,260.0,21.95,-543.5,-532.5,manage_21dte,-24.76,21
LLY,2022-01-13,250.0,20.1,-515.5,-515.0,manage_21dte,-25.65,22
LLY,2022-04-22,280.0,25.05,-433.5,-580.0,manage_21dte,-17.31,21
LLY,2022-09-02,300.0,26.6,-146.0,-620.0,manage_21dte,-5.49,21
LLY,2022-09-13,310.0,26.58,-313.5,-302.5,manage_21dte,-11.8,17
LLY,2023-03-13,320.0,23.55,354.0,-167.5,manage_21dte,15.03,18
LLY,2023-08-17,540.0,33.22,1650.2,-707.5,tp_plus50,49.67,22
LLY,2023-09-26,550.0,41.88,2082.8,-485.0,tp_plus50,49.74,15
LLY,2024-03-18,765.0,56.27,-1066.0,-1277.5,manage_21dte,-18.94,18
LLY,2024-04-04,770.0,73.12,-1153.5,-1525.0,manage_21dte,-15.77,22
LLY,2024-07-19,855.0,82.15,-1511.0,-2707.5,manage_21dte,-18.39,21
LLY,2024-09-03,955.0,69.15,-1713.5,-1702.5,manage_21dte,-24.78,17
LLY,2024-10-03,890.0,94.7,-1653.5,-1642.5,manage_21dte,-17.46,22
LLY,2025-01-02,780.0,80.7,-2468.5,-2457.5,manage_21dte,-30.59,22
LLY,2025-02-03,810.0,70.4,431.5,-1215.0,manage_21dte,6.13,18
LLY,2025-02-25,900.0,69.28,2024.5,-430.0,manage_21dte,29.22,17
LLY,2025-10-10,830.0,93.4,-3448.5,-3585.0,manage_21dte,-36.92,21
LLY,2026-02-04,1105.0,97.17,510.5,-250.0,manage_21dte,5.25,16
