entry,exit,symbol,qty,pnl
2015-01-13,2015-02-12,LCALL,1,322.9
2015-01-14,2015-01-22,MES,1,58.4
2015-01-16,2015-02-06,STRAD71,1,-113.7
2015-01-29,2015-02-10,MES,1,39.4
2015-02-03,2015-02-04,MCL,3,107.6
2015-02-12,2015-02-26,MGC,1,34.9
2015-03-04,2015-03-20,MES,1,51.7
2015-03-19,2015-03-26,MNG,4,41.4
2015-03-20,2015-04-10,STRAD71,1,-116.2
2015-03-23,2015-04-10,EQ:NVDA,1,5.5
2015-03-26,2015-04-06,MES,1,30.5
2015-04-07,2015-04-08,MCL,3,50.6
2015-04-09,2015-04-30,STRAD84,1,-159.2
2015-04-15,2015-04-22,MCL,3,62.6
2015-04-24,2015-05-14,EQ:NVDA,1,9.3
2015-04-30,2015-05-14,MES,1,60.5
2015-05-14,2015-05-29,MES,1,12.3
2015-05-18,2015-06-17,LCALL,1,-134.2
2015-06-05,2015-06-18,MES,1,46.1
2015-06-12,2015-06-18,EQ:NVDA,1,6.3
2015-06-12,2015-06-18,EQ:TSLA,1,142.2
2015-06-26,2015-07-10,MES,1,-17.6
2015-07-07,2015-07-17,EQ:TSLA,1,229.5
2015-07-09,2015-07-30,STRAD84,1,285.8
2015-07-14,2015-07-24,MNG,4,89.4
2015-07-17,2015-08-16,LCALL,1,-93.9
2015-07-22,2015-08-10,MES,1,22.4
2015-08-03,2015-08-18,EQ:TSLA,1,198.2
2015-08-18,2015-09-17,LCALL,1,-115.2
2015-09-01,2015-09-09,MCL,3,86.6
2015-10-01,2015-10-23,EQ:TSLA,1,-530.5
2015-10-07,2015-10-14,MCL,3,64.1
2015-10-16,2015-10-26,MNG,4,31.4
2015-10-21,2015-10-22,MES,1,31.1
2015-10-21,2015-11-20,LCALL,1,238.6
2015-10-29,2015-11-06,EQ:NVDA,1,17.5
2015-10-29,2015-11-20,EQ:AMD,1,-2.0
2015-10-30,2015-11-05,EQ:META,1,54.2
2015-11-03,2015-12-07,MGC,1,-33.1
2015-11-10,2015-11-25,MES,1,35.5
2015-11-11,2015-12-02,STRAD96,1,-39.2
2015-11-16,2015-11-19,MNG,4,115.4
2015-11-24,2015-12-04,EQ:META,1,38.5
2015-12-02,2015-12-16,EQ:AMD,1,-0.5
2015-12-03,2015-12-22,MES,1,46.7
2015-12-08,2015-12-29,STRAD71,1,-137.4
2015-12-08,2015-12-29,STRAD84,1,-174.2
2015-12-18,2015-12-29,EQ:META,1,68.2
2015-12-18,2015-12-28,EQ:NVDA,1,11.2
2015-12-18,2016-01-08,STRAD96,1,302.8
2015-12-29,2016-01-19,STRAD71,1,397.8
2015-12-29,2016-01-06,MNG,4,89.4
2015-12-30,2016-01-29,LCALL,1,-90.2
2016-01-15,2016-01-22,EQ:AMD,1,-2.2
2016-01-29,2016-02-19,STRAD84,1,365.8
2016-03-09,2016-03-15,MES,1,38.6
2016-03-18,2016-04-08,STRAD84,1,-108.2
2016-03-24,2016-03-31,MGC,1,15.3
2016-03-24,2016-03-30,MES,1,33.6
2016-04-06,2016-04-18,MES,1,51.7
2016-04-19,2016-05-06,EQ:TSLA,1,-243.0
2016-04-19,2016-05-06,EQ:NVDA,1,-16.0
2016-04-25,2016-04-28,EQ:META,1,65.8
2016-04-29,2016-05-10,MES,1,33.0
2016-05-19,2016-06-09,STRAD84,1,-111.2
2016-05-20,2016-05-25,MES,1,42.4
2016-05-25,2016-06-03,MGC,1,24.9
2016-06-06,2016-07-06,MES,1,43.6
2016-06-30,2016-07-21,STRAD96,1,255.8
2016-07-01,2016-07-31,LCALL,1,162.3
2016-07-05,2016-07-13,EQ:AMD,1,1.5
2016-07-06,2016-07-12,MES,1,26.1
2016-07-21,2016-08-11,STRAD96,1,-203.2
2016-07-28,2016-08-05,MES,1,30.5
2016-08-02,2016-08-05,EQ:TSLA,1,189.5
2016-08-11,2016-08-26,MES,1,6.1
2016-08-12,2016-09-02,STRAD84,1,-188.2
2016-08-16,2016-08-24,MCL,3,23.5
2016-08-26,2016-09-06,MGC,1,39.9
2016-08-29,2016-09-09,MES,1,-126.4
2016-09-09,2016-09-21,MES,1,81.1
2016-09-13,2016-10-04,STRAD71,1,-183.7
2016-09-21,2016-10-05,MES,1,24.9
2016-10-05,2016-10-26,STRAD71,1,-182.4
2016-10-05,2016-11-09,MES,1,42.4
2016-10-25,2016-11-24,LCALL,1,-93.9
